id,text,correct_answer,options,difficulty_level,category,points
9c4e0413-7065-4c00-b701-c1010f162f10,Question 1: What is a key concept in SSRS?,98804090-166e-4858-8134-829a9363ede8,"[{""id"": ""b5452c15-459c-4b7a-9198-562c75863beb"", ""text"": ""Option A""}, {""id"": ""b435232f-04a7-44f4-8cf6-b04f570f9e95"", ""text"": ""Option B""}, {""id"": ""98804090-166e-4858-8134-829a9363ede8"", ""text"": ""Option C""}, {""id"": ""5c67fe08-024c-42dc-b52b-648712374333"", ""text"": ""Option D""}]",1,SSRS,1.0
965c1309-f6a3-4ef3-b0b6-0e209c61e387,Question 2: What is a key concept in Python?,107510ce-c18c-45dc-bd21-bb67c802d41f,"[{""id"": ""ac6ae605-3bc7-4b22-805b-4d1c2ee4fd3a"", ""text"": ""Option A""}, {""id"": ""d5f1e19e-09c9-4cbc-bc61-baa26897ba22"", ""text"": ""Option B""}, {""id"": ""107510ce-c18c-45dc-bd21-bb67c802d41f"", ""text"": ""Option C""}, {""id"": ""f5c0cd62-dec6-4a4f-8906-2f318bcc77cc"", ""text"": ""Option D""}]",1,Python,10.0
c919bc57-fa92-46b0-9436-41e8a56e5b44,Question 3: What is a key concept in Python?,858b3abd-1a1d-46fc-b4e2-51c2e1523516,"[{""id"": ""2813e2ab-b2bc-41f3-90ef-27be9e5e753a"", ""text"": ""Option A""}, {""id"": ""aadc43e2-f194-4407-bc81-013ea27c4fd6"", ""text"": ""Option B""}, {""id"": ""2ed1891c-209f-49a6-8101-f4e3332ecdce"", ""text"": ""Option C""}, {""id"": ""858b3abd-1a1d-46fc-b4e2-51c2e1523516"", ""text"": ""Option D""}]",2,Python,10.0
7a509ae8-fa39-43b3-92e8-80ee02c6755d,Question 4: What is a key concept in SSRS?,a1cb6d26-6ea9-44ac-b01d-d598de65780e,"[{""id"": ""703a91a4-ba6a-40c5-8a87-3c8ef6ce126b"", ""text"": ""Option A""}, {""id"": ""1f9d1aff-465b-4ff0-8d0e-b00a6e759a66"", ""text"": ""Option B""}, {""id"": ""a1cb6d26-6ea9-44ac-b01d-d598de65780e"", ""text"": ""Option C""}, {""id"": ""ffa53d67-08a1-44a8-a34d-2c4a5dc243d1"", ""text"": ""Option D""}]",2,SSRS,1.0
95cf720e-74e3-485a-977c-8be8432bc760,Question 5: What is a key concept in SSRS?,00a70368-be72-4e90-a6de-bf8c429743ee,"[{""id"": ""38c3adc1-b2a9-4faf-b725-c31525137754"", ""text"": ""Option A""}, {""id"": ""c76884a0-36c4-46f3-a391-23fcad5152ed"", ""text"": ""Option B""}, {""id"": ""00a70368-be72-4e90-a6de-bf8c429743ee"", ""text"": ""Option C""}, {""id"": ""f6204e4d-04b1-410e-ab9c-2d189292136a"", ""text"": ""Option D""}]",1,SSRS,5.0
6c5d7274-9b20-462f-a8c2-9ffea2918e7e,Question 6: What is a key concept in Data Science?,d3cddb06-fd59-44e2-9c03-44457e2dc173,"[{""id"": ""1664d691-6b87-4050-a4dc-a039e6b51903"", ""text"": ""Option A""}, {""id"": ""b9236305-7613-4b6d-a2fb-9a50bc4094a1"", ""text"": ""Option B""}, {""id"": ""ccad286f-f9fc-4b3c-ae6d-6ad6ede14b33"", ""text"": ""Option C""}, {""id"": ""d3cddb06-fd59-44e2-9c03-44457e2dc173"", ""text"": ""Option D""}]",3,Data Science,1.0
ff62635d-52ad-45c3-9b9f-d9407616cee8,Question 7: What is a key concept in Python?,295605c7-e8e8-4721-b3fa-96d5901f246b,"[{""id"": ""816a3a1d-755c-4361-a47b-10be89030096"", ""text"": ""Option A""}, {""id"": ""6703dea0-9928-4d3e-9cd7-3db45935d546"", ""text"": ""Option B""}, {""id"": ""295605c7-e8e8-4721-b3fa-96d5901f246b"", ""text"": ""Option C""}, {""id"": ""274365b1-9f7b-4671-ad6f-5094ea2a3f59"", ""text"": ""Option D""}]",2,Python,1.0
1df7da8f-871a-4a63-a82e-21a88d7b522e,Question 8: What is a key concept in SSRS?,b891754b-bcdc-4ec7-b246-89e2f6ba7b80,"[{""id"": ""8a821e23-3c9b-4260-96e1-09192f9087c9"", ""text"": ""Option A""}, {""id"": ""b891754b-bcdc-4ec7-b246-89e2f6ba7b80"", ""text"": ""Option B""}, {""id"": ""aafa634b-b6b1-4ad2-8048-1b96fe23a3ae"", ""text"": ""Option C""}, {""id"": ""70901113-3177-418d-8bd5-4725bf6b3ab3"", ""text"": ""Option D""}]",1,SSRS,1.0
5a4945f8-182a-41b3-a434-26cc79f16af7,Question 9: What is a key concept in SSRS?,28720f21-4afe-41e2-86b2-04da2c3492a1,"[{""id"": ""c21e86e1-d567-4fb1-b427-0766ba365541"", ""text"": ""Option A""}, {""id"": ""28720f21-4afe-41e2-86b2-04da2c3492a1"", ""text"": ""Option B""}, {""id"": ""678577ae-b4de-4529-93bb-0f26935aa7e7"", ""text"": ""Option C""}, {""id"": ""3117fad3-0f43-4913-9901-e67e648a3888"", ""text"": ""Option D""}]",3,SSRS,1.0
e976dfc2-21b4-447d-9f08-406ad1cf66ec,Question 10: What is a key concept in SQL?,a81e4fde-cef7-4032-bae7-7e80965dd0d8,"[{""id"": ""57cc4105-80fd-4358-aa2f-5a2b2591b1d8"", ""text"": ""Option A""}, {""id"": ""a81e4fde-cef7-4032-bae7-7e80965dd0d8"", ""text"": ""Option B""}, {""id"": ""f1b7af06-07a3-426f-a712-40c8137a8598"", ""text"": ""Option C""}, {""id"": ""42375e98-f481-4885-b947-aaabe201b290"", ""text"": ""Option D""}]",2,SQL,5.0
